"Add New Sub Account","Add New Sub Account"
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
ID,ID
Name,Name
Email,Email
Permissions,Permissions
Active,Active
"Account Since","Account Since"
"Sub Accounts","Sub Accounts"
"Sub Account Permissions","Sub Account Permissions"
Back,Back
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Sub Account was successfully deleted.","Sub Account was successfully deleted."
"You are not authorized to delete this sub account.","You are not authorized to delete this sub account."
"Requested sub account doesn't exist","Requested sub account doesn't exist"
"Edit Sub-Account","Edit Sub-Account"
"You are not authorized to update this sub account.","You are not authorized to update this sub account."
"Requested sub account doesn't exist.","Requested sub account doesn't exist."
"Edit Sub Account with id %1","Edit Sub Account with id %1"
"New Sub Account","New Sub Account"
"Seller Sub Accounts","Seller Sub Accounts"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Sub Account was successfully saved.","Sub Account has been successfully saved."
"Sub Account does not exist.","Sub Account does not exist."
"Sub Account was successfully created.","Sub Account has been successfully created."
"Seller account does not exist.","Seller account does not exist."
"Please select valid master seller account.","Please select valid master seller account."
"Unsupported bookmark action.","Unsupported bookmark action."
"The order has been cancelled.","The order has been cancelled."
"You are not permitted to cancel this order.","You are not permitted to cancel this order."
"We can't send the email order right now.","We can't send the email order right now."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"Can not create invoice as order is in HOLD state","Can not create invoice as order is in HOLD state"
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Invoice has been created for this order.","Invoice has been created for this order."
"Cannot create Invoice for this order.","Cannot create Invoice for this order."
"There are no printable documents related to selected date range.","There are no printable documents related to selected date range."
"We can't print the invoice right now.","We can't print the invoice right now."
"Information was successfully saved","Information was successfully saved"
"Can not create shipment as order is in HOLD state","Can not create shipment as order is in HOLD state"
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"The shipment has been created.","The shipment has been created."
"The shipping label has been created.","The shipping label has been created."
"We can't save the shipment right now.","We can't save the shipment right now."
"We can't print the shipment right now.","We can't print the shipment right now."
"View Products","View Products"
No,No
Yes,Yes
"Unable to remove seller sub account with id %1","Unable to remove seller sub account with id %1"
". '</span>'",". '</span>'"
"You are not allowed to perform this action.","You are not allowed to perform this action."
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"Payment information was successfully saved","Payment information was successfully saved"
"Product has been successfully deleted from your account.","Product has been successfully deleted from your account."
"You are not authorize to delete this product.","You are not authorize to delete this product."
"You are not authorize to delete products with id(s) %1 .","You are not authorize to delete products with id(s) %1 ."
"Products are successfully deleted from your account.","Products are successfully deleted from your account."
"Marketplace Seller Transaction View","Marketplace Seller Transaction View"
Edit,Edit
Manage,Manage
"Select sub seller account permissions list","Select sub seller account permissions list"
"Manage Sub-Accounts","Manage Sub-Accounts"
"Save Sub Account","Save Sub Account"
"First Name","First Name"
"Last Name","Last Name"
"Allowed Permissions","Allowed Permissions"
"To Become Seller Please Contact to Admin.","To Become Seller Please Contact to Admin."
"Manage Sub Account","Manage Sub Account"
Settings,Settings
Menu,Menu
"Profile Settings","Profile Settings"
" Are you sure you want to edit this sub account? "," Are you sure you want to edit this sub account? "
" No Checkbox is checked "," No Checkbox is checked "
" Are you sure you want to delete these sub account(s)? "," Are you sure you want to delete these sub account(s)? "
" Are you sure you want to delete this sub account? "," Are you sure you want to delete this sub account? "
Webkul,Webkul
"Seller Sub Account Settings","Seller Sub Account Settings"
"General Settings","General Settings"
"Allow Seller to Manage Sub-Accounts","Allow Seller to Manage Sub-Accounts"
"Sub Account Permission","Sub Account Permission"
"Sub Account","Sub Account"
"Last Name Name","Last Name Name"
"Allowed Account Permissions","Allowed Account Permissions"
Action,Action
"Are you sure you wan't to delete selected sub account?","Are you sure you wan't to delete selected sub account?"
Permission,Permission
"Vendor Dashboard","Vendor Dashboard"
"Admin didn't select any permission to seller sub account","Admin didn't select any permission to seller sub account"
